ID,Class,Sex,Age,Survived
1,1st,Male,Child,Yes
2,1st,Male,Child,Yes
3,1st,Male,Child,Yes
4,1st,Male,Child,Yes
5,1st,Male,Child,Yes
6,1st,Male,Adult,No
7,1st,Male,Adult,No
8,1st,Male,Adult,No
9,1st,Male,Adult,No
10,1st,Male,Adult,No
11,1st,Male,Adult,No
12,1st,Male,Adult,No
13,1st,Male,Adult,No
14,1st,Male,Adult,No
15,1st,Male,Adult,No
16,1st,Male,Adult,No
17,1st,Male,Adult,No
18,1st,Male,Adult,No
19,1st,Male,Adult,No
20,1st,Male,Adult,No
21,1st,Male,Adult,No
22,1st,Male,Adult,No
23,1st,Male,Adult,No
24,1st,Male,Adult,No
25,1st,Male,Adult,No
26,1st,Male,Adult,No
27,1st,Male,Adult,No
28,1st,Male,Adult,No
29,1st,Male,Adult,No
30,1st,Male,Adult,No
31,1st,Male,Adult,No
32,1st,Male,Adult,No
33,1st,Male,Adult,No
34,1st,Male,Adult,No
35,1st,Male,Adult,No
36,1st,Male,Adult,No
37,1st,Male,Adult,No
38,1st,Male,Adult,No
39,1st,Male,Adult,No
40,1st,Male,Adult,No
41,1st,Male,Adult,No
42,1st,Male,Adult,No
43,1st,Male,Adult,No
44,1st,Male,Adult,No
45,1st,Male,Adult,No
46,1st,Male,Adult,No
47,1st,Male,Adult,No
48,1st,Male,Adult,No
49,1st,Male,Adult,No
50,1st,Male,Adult,No
51,1st,Male,Adult,No
52,1st,Male,Adult,No
53,1st,Male,Adult,No
54,1st,Male,Adult,No
55,1st,Male,Adult,No
56,1st,Male,Adult,No
57,1st,Male,Adult,No
58,1st,Male,Adult,No
59,1st,Male,Adult,No
60,1st,Male,Adult,No
61,1st,Male,Adult,No
62,1st,Male,Adult,No
63,1st,Male,Adult,No
64,1st,Male,Adult,No
65,1st,Male,Adult,No
66,1st,Male,Adult,No
67,1st,Male,Adult,No
68,1st,Male,Adult,No
69,1st,Male,Adult,No
70,1st,Male,Adult,No
71,1st,Male,Adult,No
72,1st,Male,Adult,No
73,1st,Male,Adult,No
74,1st,Male,Adult,No
75,1st,Male,Adult,No
76,1st,Male,Adult,No
77,1st,Male,Adult,No
78,1st,Male,Adult,No
79,1st,Male,Adult,No
80,1st,Male,Adult,No
81,1st,Male,Adult,No
82,1st,Male,Adult,No
83,1st,Male,Adult,No
84,1st,Male,Adult,No
85,1st,Male,Adult,No
86,1st,Male,Adult,No
87,1st,Male,Adult,No
88,1st,Male,Adult,No
89,1st,Male,Adult,No
90,1st,Male,Adult,No
91,1st,Male,Adult,No
92,1st,Male,Adult,No
93,1st,Male,Adult,No
94,1st,Male,Adult,No
95,1st,Male,Adult,No
96,1st,Male,Adult,No
97,1st,Male,Adult,No
98,1st,Male,Adult,No
99,1st,Male,Adult,No
100,1st,Male,Adult,No
101,1st,Male,Adult,No
102,1st,Male,Adult,No
103,1st,Male,Adult,No
104,1st,Male,Adult,No
105,1st,Male,Adult,No
106,1st,Male,Adult,No
107,1st,Male,Adult,No
108,1st,Male,Adult,No
109,1st,Male,Adult,No
110,1st,Male,Adult,No
111,1st,Male,Adult,No
112,1st,Male,Adult,No
113,1st,Male,Adult,No
114,1st,Male,Adult,No
115,1st,Male,Adult,No
116,1st,Male,Adult,No
117,1st,Male,Adult,No
118,1st,Male,Adult,No
119,1st,Male,Adult,No
120,1st,Male,Adult,No
121,1st,Male,Adult,No
122,1st,Male,Adult,No
123,1st,Male,Adult,No
124,1st,Male,Adult,Yes
125,1st,Male,Adult,Yes
126,1st,Male,Adult,Yes
127,1st,Male,Adult,Yes
128,1st,Male,Adult,Yes
129,1st,Male,Adult,Yes
130,1st,Male,Adult,Yes
131,1st,Male,Adult,Yes
132,1st,Male,Adult,Yes
133,1st,Male,Adult,Yes
134,1st,Male,Adult,Yes
135,1st,Male,Adult,Yes
136,1st,Male,Adult,Yes
137,1st,Male,Adult,Yes
138,1st,Male,Adult,Yes
139,1st,Male,Adult,Yes
140,1st,Male,Adult,Yes
141,1st,Male,Adult,Yes
142,1st,Male,Adult,Yes
143,1st,Male,Adult,Yes
144,1st,Male,Adult,Yes
145,1st,Male,Adult,Yes
146,1st,Male,Adult,Yes
147,1st,Male,Adult,Yes
148,1st,Male,Adult,Yes
149,1st,Male,Adult,Yes
150,1st,Male,Adult,Yes
151,1st,Male,Adult,Yes
152,1st,Male,Adult,Yes
153,1st,Male,Adult,Yes
154,1st,Male,Adult,Yes
155,1st,Male,Adult,Yes
156,1st,Male,Adult,Yes
157,1st,Male,Adult,Yes
158,1st,Male,Adult,Yes
159,1st,Male,Adult,Yes
160,1st,Male,Adult,Yes
161,1st,Male,Adult,Yes
162,1st,Male,Adult,Yes
163,1st,Male,Adult,Yes
164,1st,Male,Adult,Yes
165,1st,Male,Adult,Yes
166,1st,Male,Adult,Yes
167,1st,Male,Adult,Yes
168,1st,Male,Adult,Yes
169,1st,Male,Adult,Yes
170,1st,Male,Adult,Yes
171,1st,Male,Adult,Yes
172,1st,Male,Adult,Yes
173,1st,Male,Adult,Yes
174,1st,Male,Adult,Yes
175,1st,Male,Adult,Yes
176,1st,Male,Adult,Yes
177,1st,Male,Adult,Yes
178,1st,Male,Adult,Yes
179,1st,Male,Adult,Yes
180,1st,Male,Adult,Yes
181,1st,Female,Child,Yes
182,1st,Female,Adult,No
183,1st,Female,Adult,No
184,1st,Female,Adult,No
185,1st,Female,Adult,No
186,1st,Female,Adult,Yes
187,1st,Female,Adult,Yes
188,1st,Female,Adult,Yes
189,1st,Female,Adult,Yes
190,1st,Female,Adult,Yes
191,1st,Female,Adult,Yes
192,1st,Female,Adult,Yes
193,1st,Female,Adult,Yes
194,1st,Female,Adult,Yes
195,1st,Female,Adult,Yes
196,1st,Female,Adult,Yes
197,1st,Female,Adult,Yes
198,1st,Female,Adult,Yes
199,1st,Female,Adult,Yes
200,1st,Female,Adult,Yes
201,1st,Female,Adult,Yes
202,1st,Female,Adult,Yes
203,1st,Female,Adult,Yes
204,1st,Female,Adult,Yes
205,1st,Female,Adult,Yes
206,1st,Female,Adult,Yes
207,1st,Female,Adult,Yes
208,1st,Female,Adult,Yes
209,1st,Female,Adult,Yes
210,1st,Female,Adult,Yes
211,1st,Female,Adult,Yes
212,1st,Female,Adult,Yes
213,1st,Female,Adult,Yes
214,1st,Female,Adult,Yes
215,1st,Female,Adult,Yes
216,1st,Female,Adult,Yes
217,1st,Female,Adult,Yes
218,1st,Female,Adult,Yes
219,1st,Female,Adult,Yes
220,1st,Female,Adult,Yes
221,1st,Female,Adult,Yes
222,1st,Female,Adult,Yes
223,1st,Female,Adult,Yes
224,1st,Female,Adult,Yes
225,1st,Female,Adult,Yes
226,1st,Female,Adult,Yes
227,1st,Female,Adult,Yes
228,1st,Female,Adult,Yes
229,1st,Female,Adult,Yes
230,1st,Female,Adult,Yes
231,1st,Female,Adult,Yes
232,1st,Female,Adult,Yes
233,1st,Female,Adult,Yes
234,1st,Female,Adult,Yes
235,1st,Female,Adult,Yes
236,1st,Female,Adult,Yes
237,1st,Female,Adult,Yes
238,1st,Female,Adult,Yes
239,1st,Female,Adult,Yes
240,1st,Female,Adult,Yes
241,1st,Female,Adult,Yes
242,1st,Female,Adult,Yes
243,1st,Female,Adult,Yes
244,1st,Female,Adult,Yes
245,1st,Female,Adult,Yes
246,1st,Female,Adult,Yes
247,1st,Female,Adult,Yes
248,1st,Female,Adult,Yes
249,1st,Female,Adult,Yes
250,1st,Female,Adult,Yes
251,1st,Female,Adult,Yes
252,1st,Female,Adult,Yes
253,1st,Female,Adult,Yes
254,1st,Female,Adult,Yes
255,1st,Female,Adult,Yes
256,1st,Female,Adult,Yes
257,1st,Female,Adult,Yes
258,1st,Female,Adult,Yes
259,1st,Female,Adult,Yes
260,1st,Female,Adult,Yes
261,1st,Female,Adult,Yes
262,1st,Female,Adult,Yes
263,1st,Female,Adult,Yes
264,1st,Female,Adult,Yes
265,1st,Female,Adult,Yes
266,1st,Female,Adult,Yes
267,1st,Female,Adult,Yes
268,1st,Female,Adult,Yes
269,1st,Female,Adult,Yes
270,1st,Female,Adult,Yes
271,1st,Female,Adult,Yes
272,1st,Female,Adult,Yes
273,1st,Female,Adult,Yes
274,1st,Female,Adult,Yes
275,1st,Female,Adult,Yes
276,1st,Female,Adult,Yes
277,1st,Female,Adult,Yes
278,1st,Female,Adult,Yes
279,1st,Female,Adult,Yes
280,1st,Female,Adult,Yes
281,1st,Female,Adult,Yes
282,1st,Female,Adult,Yes
283,1st,Female,Adult,Yes
284,1st,Female,Adult,Yes
285,1st,Female,Adult,Yes
286,1st,Female,Adult,Yes
287,1st,Female,Adult,Yes
288,1st,Female,Adult,Yes
289,1st,Female,Adult,Yes
290,1st,Female,Adult,Yes
291,1st,Female,Adult,Yes
292,1st,Female,Adult,Yes
293,1st,Female,Adult,Yes
294,1st,Female,Adult,Yes
295,1st,Female,Adult,Yes
296,1st,Female,Adult,Yes
297,1st,Female,Adult,Yes
298,1st,Female,Adult,Yes
299,1st,Female,Adult,Yes
300,1st,Female,Adult,Yes
301,1st,Female,Adult,Yes
302,1st,Female,Adult,Yes
303,1st,Female,Adult,Yes
304,1st,Female,Adult,Yes
305,1st,Female,Adult,Yes
306,1st,Female,Adult,Yes
307,1st,Female,Adult,Yes
308,1st,Female,Adult,Yes
309,1st,Female,Adult,Yes
310,1st,Female,Adult,Yes
311,1st,Female,Adult,Yes
312,1st,Female,Adult,Yes
313,1st,Female,Adult,Yes
314,1st,Female,Adult,Yes
315,1st,Female,Adult,Yes
316,1st,Female,Adult,Yes
317,1st,Female,Adult,Yes
318,1st,Female,Adult,Yes
319,1st,Female,Adult,Yes
320,1st,Female,Adult,Yes
321,1st,Female,Adult,Yes
322,1st,Female,Adult,Yes
323,1st,Female,Adult,Yes
324,1st,Female,Adult,Yes
325,1st,Female,Adult,Yes
326,2nd,Male,Child,Yes
327,2nd,Male,Child,Yes
328,2nd,Male,Child,Yes
329,2nd,Male,Child,Yes
330,2nd,Male,Child,Yes
331,2nd,Male,Child,Yes
332,2nd,Male,Child,Yes
333,2nd,Male,Child,Yes
334,2nd,Male,Child,Yes
335,2nd,Male,Child,Yes
336,2nd,Male,Child,Yes
337,2nd,Male,Adult,No
338,2nd,Male,Adult,No
339,2nd,Male,Adult,No
340,2nd,Male,Adult,No
341,2nd,Male,Adult,No
342,2nd,Male,Adult,No
343,2nd,Male,Adult,No
344,2nd,Male,Adult,No
345,2nd,Male,Adult,No
346,2nd,Male,Adult,No
347,2nd,Male,Adult,No
348,2nd,Male,Adult,No
349,2nd,Male,Adult,No
350,2nd,Male,Adult,No
351,2nd,Male,Adult,No
352,2nd,Male,Adult,No
353,2nd,Male,Adult,No
354,2nd,Male,Adult,No
355,2nd,Male,Adult,No
356,2nd,Male,Adult,No
357,2nd,Male,Adult,No
358,2nd,Male,Adult,No
359,2nd,Male,Adult,No
360,2nd,Male,Adult,No
361,2nd,Male,Adult,No
362,2nd,Male,Adult,No
363,2nd,Male,Adult,No
364,2nd,Male,Adult,No
365,2nd,Male,Adult,No
366,2nd,Male,Adult,No
367,2nd,Male,Adult,No
368,2nd,Male,Adult,No
369,2nd,Male,Adult,No
370,2nd,Male,Adult,No
371,2nd,Male,Adult,No
372,2nd,Male,Adult,No
373,2nd,Male,Adult,No
374,2nd,Male,Adult,No
375,2nd,Male,Adult,No
376,2nd,Male,Adult,No
377,2nd,Male,Adult,No
378,2nd,Male,Adult,No
379,2nd,Male,Adult,No
380,2nd,Male,Adult,No
381,2nd,Male,Adult,No
382,2nd,Male,Adult,No
383,2nd,Male,Adult,No
384,2nd,Male,Adult,No
385,2nd,Male,Adult,No
386,2nd,Male,Adult,No
387,2nd,Male,Adult,No
388,2nd,Male,Adult,No
389,2nd,Male,Adult,No
390,2nd,Male,Adult,No
391,2nd,Male,Adult,No
392,2nd,Male,Adult,No
393,2nd,Male,Adult,No
394,2nd,Male,Adult,No
395,2nd,Male,Adult,No
396,2nd,Male,Adult,No
397,2nd,Male,Adult,No
398,2nd,Male,Adult,No
399,2nd,Male,Adult,No
400,2nd,Male,Adult,No
401,2nd,Male,Adult,No
402,2nd,Male,Adult,No
403,2nd,Male,Adult,No
404,2nd,Male,Adult,No
405,2nd,Male,Adult,No
406,2nd,Male,Adult,No
407,2nd,Male,Adult,No
408,2nd,Male,Adult,No
409,2nd,Male,Adult,No
410,2nd,Male,Adult,No
411,2nd,Male,Adult,No
412,2nd,Male,Adult,No
413,2nd,Male,Adult,No
414,2nd,Male,Adult,No
415,2nd,Male,Adult,No
416,2nd,Male,Adult,No
417,2nd,Male,Adult,No
418,2nd,Male,Adult,No
419,2nd,Male,Adult,No
420,2nd,Male,Adult,No
421,2nd,Male,Adult,No
422,2nd,Male,Adult,No
423,2nd,Male,Adult,No
424,2nd,Male,Adult,No
425,2nd,Male,Adult,No
426,2nd,Male,Adult,No
427,2nd,Male,Adult,No
428,2nd,Male,Adult,No
429,2nd,Male,Adult,No
430,2nd,Male,Adult,No
431,2nd,Male,Adult,No
432,2nd,Male,Adult,No
433,2nd,Male,Adult,No
434,2nd,Male,Adult,No
435,2nd,Male,Adult,No
436,2nd,Male,Adult,No
437,2nd,Male,Adult,No
438,2nd,Male,Adult,No
439,2nd,Male,Adult,No
440,2nd,Male,Adult,No
441,2nd,Male,Adult,No
442,2nd,Male,Adult,No
443,2nd,Male,Adult,No
444,2nd,Male,Adult,No
445,2nd,Male,Adult,No
446,2nd,Male,Adult,No
447,2nd,Male,Adult,No
448,2nd,Male,Adult,No
449,2nd,Male,Adult,No
450,2nd,Male,Adult,No
451,2nd,Male,Adult,No
452,2nd,Male,Adult,No
453,2nd,Male,Adult,No
454,2nd,Male,Adult,No
455,2nd,Male,Adult,No
456,2nd,Male,Adult,No
457,2nd,Male,Adult,No
458,2nd,Male,Adult,No
459,2nd,Male,Adult,No
460,2nd,Male,Adult,No
461,2nd,Male,Adult,No
462,2nd,Male,Adult,No
463,2nd,Male,Adult,No
464,2nd,Male,Adult,No
465,2nd,Male,Adult,No
466,2nd,Male,Adult,No
467,2nd,Male,Adult,No
468,2nd,Male,Adult,No
469,2nd,Male,Adult,No
470,2nd,Male,Adult,No
471,2nd,Male,Adult,No
472,2nd,Male,Adult,No
473,2nd,Male,Adult,No
474,2nd,Male,Adult,No
475,2nd,Male,Adult,No
476,2nd,Male,Adult,No
477,2nd,Male,Adult,No
478,2nd,Male,Adult,No
479,2nd,Male,Adult,No
480,2nd,Male,Adult,No
481,2nd,Male,Adult,No
482,2nd,Male,Adult,No
483,2nd,Male,Adult,No
484,2nd,Male,Adult,No
485,2nd,Male,Adult,No
486,2nd,Male,Adult,No
487,2nd,Male,Adult,No
488,2nd,Male,Adult,No
489,2nd,Male,Adult,No
490,2nd,Male,Adult,No
491,2nd,Male,Adult,Yes
492,2nd,Male,Adult,Yes
493,2nd,Male,Adult,Yes
494,2nd,Male,Adult,Yes
495,2nd,Male,Adult,Yes
496,2nd,Male,Adult,Yes
497,2nd,Male,Adult,Yes
498,2nd,Male,Adult,Yes
499,2nd,Male,Adult,Yes
500,2nd,Male,Adult,Yes
501,2nd,Male,Adult,Yes
502,2nd,Male,Adult,Yes
503,2nd,Male,Adult,Yes
504,2nd,Male,Adult,Yes
505,2nd,Female,Child,Yes
506,2nd,Female,Child,Yes
507,2nd,Female,Child,Yes
508,2nd,Female,Child,Yes
509,2nd,Female,Child,Yes
510,2nd,Female,Child,Yes
511,2nd,Female,Child,Yes
512,2nd,Female,Child,Yes
513,2nd,Female,Child,Yes
514,2nd,Female,Child,Yes
515,2nd,Female,Child,Yes
516,2nd,Female,Child,Yes
517,2nd,Female,Child,Yes
518,2nd,Female,Adult,No
519,2nd,Female,Adult,No
520,2nd,Female,Adult,No
521,2nd,Female,Adult,No
522,2nd,Female,Adult,No
523,2nd,Female,Adult,No
524,2nd,Female,Adult,No
525,2nd,Female,Adult,No
526,2nd,Female,Adult,No
527,2nd,Female,Adult,No
528,2nd,Female,Adult,No
529,2nd,Female,Adult,No
530,2nd,Female,Adult,No
531,2nd,Female,Adult,Yes
532,2nd,Female,Adult,Yes
533,2nd,Female,Adult,Yes
534,2nd,Female,Adult,Yes
535,2nd,Female,Adult,Yes
536,2nd,Female,Adult,Yes
537,2nd,Female,Adult,Yes
538,2nd,Female,Adult,Yes
539,2nd,Female,Adult,Yes
540,2nd,Female,Adult,Yes
541,2nd,Female,Adult,Yes
542,2nd,Female,Adult,Yes
543,2nd,Female,Adult,Yes
544,2nd,Female,Adult,Yes
545,2nd,Female,Adult,Yes
546,2nd,Female,Adult,Yes
547,2nd,Female,Adult,Yes
548,2nd,Female,Adult,Yes
549,2nd,Female,Adult,Yes
550,2nd,Female,Adult,Yes
551,2nd,Female,Adult,Yes
552,2nd,Female,Adult,Yes
553,2nd,Female,Adult,Yes
554,2nd,Female,Adult,Yes
555,2nd,Female,Adult,Yes
556,2nd,Female,Adult,Yes
557,2nd,Female,Adult,Yes
558,2nd,Female,Adult,Yes
559,2nd,Female,Adult,Yes
560,2nd,Female,Adult,Yes
561,2nd,Female,Adult,Yes
562,2nd,Female,Adult,Yes
563,2nd,Female,Adult,Yes
564,2nd,Female,Adult,Yes
565,2nd,Female,Adult,Yes
566,2nd,Female,Adult,Yes
567,2nd,Female,Adult,Yes
568,2nd,Female,Adult,Yes
569,2nd,Female,Adult,Yes
570,2nd,Female,Adult,Yes
571,2nd,Female,Adult,Yes
572,2nd,Female,Adult,Yes
573,2nd,Female,Adult,Yes
574,2nd,Female,Adult,Yes
575,2nd,Female,Adult,Yes
576,2nd,Female,Adult,Yes
577,2nd,Female,Adult,Yes
578,2nd,Female,Adult,Yes
579,2nd,Female,Adult,Yes
580,2nd,Female,Adult,Yes
581,2nd,Female,Adult,Yes
582,2nd,Female,Adult,Yes
583,2nd,Female,Adult,Yes
584,2nd,Female,Adult,Yes
585,2nd,Female,Adult,Yes
586,2nd,Female,Adult,Yes
587,2nd,Female,Adult,Yes
588,2nd,Female,Adult,Yes
589,2nd,Female,Adult,Yes
590,2nd,Female,Adult,Yes
591,2nd,Female,Adult,Yes
592,2nd,Female,Adult,Yes
593,2nd,Female,Adult,Yes
594,2nd,Female,Adult,Yes
595,2nd,Female,Adult,Yes
596,2nd,Female,Adult,Yes
597,2nd,Female,Adult,Yes
598,2nd,Female,Adult,Yes
599,2nd,Female,Adult,Yes
600,2nd,Female,Adult,Yes
601,2nd,Female,Adult,Yes
602,2nd,Female,Adult,Yes
603,2nd,Female,Adult,Yes
604,2nd,Female,Adult,Yes
605,2nd,Female,Adult,Yes
606,2nd,Female,Adult,Yes
607,2nd,Female,Adult,Yes
608,2nd,Female,Adult,Yes
609,2nd,Female,Adult,Yes
610,2nd,Female,Adult,Yes
611,3rd,Male,Child,No
612,3rd,Male,Child,No
613,3rd,Male,Child,No
614,3rd,Male,Child,No
615,3rd,Male,Child,No
616,3rd,Male,Child,No
617,3rd,Male,Child,No
618,3rd,Male,Child,No
619,3rd,Male,Child,No
620,3rd,Male,Child,No
621,3rd,Male,Child,No
622,3rd,Male,Child,No
623,3rd,Male,Child,No
624,3rd,Male,Child,No
625,3rd,Male,Child,No
626,3rd,Male,Child,No
627,3rd,Male,Child,No
628,3rd,Male,Child,No
629,3rd,Male,Child,No
630,3rd,Male,Child,No
631,3rd,Male,Child,No
632,3rd,Male,Child,No
633,3rd,Male,Child,No
634,3rd,Male,Child,No
635,3rd,Male,Child,No
636,3rd,Male,Child,No
637,3rd,Male,Child,No
638,3rd,Male,Child,No
639,3rd,Male,Child,No
640,3rd,Male,Child,No
641,3rd,Male,Child,No
642,3rd,Male,Child,No
643,3rd,Male,Child,No
644,3rd,Male,Child,No
645,3rd,Male,Child,No
646,3rd,Male,Child,Yes
647,3rd,Male,Child,Yes
648,3rd,Male,Child,Yes
649,3rd,Male,Child,Yes
650,3rd,Male,Child,Yes
651,3rd,Male,Child,Yes
652,3rd,Male,Child,Yes
653,3rd,Male,Child,Yes
654,3rd,Male,Child,Yes
655,3rd,Male,Child,Yes
656,3rd,Male,Child,Yes
657,3rd,Male,Child,Yes
658,3rd,Male,Child,Yes
659,3rd,Male,Adult,No
660,3rd,Male,Adult,No
661,3rd,Male,Adult,No
662,3rd,Male,Adult,No
663,3rd,Male,Adult,No
664,3rd,Male,Adult,No
665,3rd,Male,Adult,No
666,3rd,Male,Adult,No
667,3rd,Male,Adult,No
668,3rd,Male,Adult,No
669,3rd,Male,Adult,No
670,3rd,Male,Adult,No
671,3rd,Male,Adult,No
672,3rd,Male,Adult,No
673,3rd,Male,Adult,No
674,3rd,Male,Adult,No
675,3rd,Male,Adult,No
676,3rd,Male,Adult,No
677,3rd,Male,Adult,No
678,3rd,Male,Adult,No
679,3rd,Male,Adult,No
680,3rd,Male,Adult,No
681,3rd,Male,Adult,No
682,3rd,Male,Adult,No
683,3rd,Male,Adult,No
684,3rd,Male,Adult,No
685,3rd,Male,Adult,No
686,3rd,Male,Adult,No
687,3rd,Male,Adult,No
688,3rd,Male,Adult,No
689,3rd,Male,Adult,No
690,3rd,Male,Adult,No
691,3rd,Male,Adult,No
692,3rd,Male,Adult,No
693,3rd,Male,Adult,No
694,3rd,Male,Adult,No
695,3rd,Male,Adult,No
696,3rd,Male,Adult,No
697,3rd,Male,Adult,No
698,3rd,Male,Adult,No
699,3rd,Male,Adult,No
700,3rd,Male,Adult,No
701,3rd,Male,Adult,No
702,3rd,Male,Adult,No
703,3rd,Male,Adult,No
704,3rd,Male,Adult,No
705,3rd,Male,Adult,No
706,3rd,Male,Adult,No
707,3rd,Male,Adult,No
708,3rd,Male,Adult,No
709,3rd,Male,Adult,No
710,3rd,Male,Adult,No
711,3rd,Male,Adult,No
712,3rd,Male,Adult,No
713,3rd,Male,Adult,No
714,3rd,Male,Adult,No
715,3rd,Male,Adult,No
716,3rd,Male,Adult,No
717,3rd,Male,Adult,No
718,3rd,Male,Adult,No
719,3rd,Male,Adult,No
720,3rd,Male,Adult,No
721,3rd,Male,Adult,No
722,3rd,Male,Adult,No
723,3rd,Male,Adult,No
724,3rd,Male,Adult,No
725,3rd,Male,Adult,No
726,3rd,Male,Adult,No
727,3rd,Male,Adult,No
728,3rd,Male,Adult,No
729,3rd,Male,Adult,No
730,3rd,Male,Adult,No
731,3rd,Male,Adult,No
732,3rd,Male,Adult,No
733,3rd,Male,Adult,No
734,3rd,Male,Adult,No
735,3rd,Male,Adult,No
736,3rd,Male,Adult,No
737,3rd,Male,Adult,No
738,3rd,Male,Adult,No
739,3rd,Male,Adult,No
740,3rd,Male,Adult,No
741,3rd,Male,Adult,No
742,3rd,Male,Adult,No
743,3rd,Male,Adult,No
744,3rd,Male,Adult,No
745,3rd,Male,Adult,No
746,3rd,Male,Adult,No
747,3rd,Male,Adult,No
748,3rd,Male,Adult,No
749,3rd,Male,Adult,No
750,3rd,Male,Adult,No
751,3rd,Male,Adult,No
752,3rd,Male,Adult,No
753,3rd,Male,Adult,No
754,3rd,Male,Adult,No
